Search terms
All time
Search term,Search terms match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
marco polo parga paxos,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
marco polo sailing boat parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
megalochari boat parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
megalochari motorsailer boat parga,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
meteora parga,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
mögliche aktivitäten in parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
nafsika parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
near parga,Broad match,None,0,3,0.00%,EUR,0,0.00,33.33%,66.67%,0.00,0,0,0
nico parga party,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
nico parga stop,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
nightlife parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
oasis of parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
omgeving parga,Broad match,None,1,1,100.00%,EUR,0.46,0.46,0.00%,0.00%,0.00,0,0,0.00%
p arga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
package holidays to parga greece,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
paga greece,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
paliria parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
par ga,Broad match,None,0,3,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
paragliding parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
parasailing parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parasailing parga price,Broad match,None,0,3,0.00%,EUR,0,0.00,33.33%,66.67%,0.00,0,0,0
parasailing parga price,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga,Broad match,None,0,20,0.00%,EUR,0,0.00,14.29%,100.00%,0.00,0,0,0
parga 15 august,Broad match,None,0,3,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga 2022,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga 2023,Broad match,None,0,7,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga 2024,Broad match,None,3,44,6.82%,EUR,0.50,1.50,37.50%,62.50%,0.00,0,0,0.00%
parga accommodation,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga acheron river,Broad match,None,2,26,7.69%,EUR,0.35,0.69,18.18%,45.45%,0.00,0,0,0.00%
parga acheron river,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga activities,Exact match,Added,9,20,45.00%,EUR,0.18,1.65,10.00%,85.00%,0.00,0,0,0.00%
parga aktivitäten,Broad match,None,0,4,0.00%,EUR,0,0.00,0.00%,25.00%,0.00,0,0,0
parga aktivitäten,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga and surrounding area,Broad match,None,1,1,100.00%,EUR,0.12,0.12,0.00%,100.00%,0.00,0,0,0.00%
parga antipaxos boat,Broad match,None,0,5,0.00%,EUR,0,0.00,0.00%,80.00%,0.00,0,0,0
parga antipaxos boat,Phrase match (close variant),None,1,8,12.50%,EUR,0.43,0.43,50.00%,75.00%,0.00,0,0,0.00%
parga apollo,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga area,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga at night,Broad match,None,0,5,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga att göra,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga attractions,Exact match (close variant),None,3,11,27.27%,EUR,0.23,0.69,25.00%,100.00%,0.00,0,0,0.00%
parga ausflüge,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,66.67%,0.00,0,0,0
parga ausflüge,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga bar,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga bars,Broad match,None,1,5,20.00%,EUR,0.01,0.01,0.00%,0.00%,0.00,0,0,0.00%
parga bars nightlife,Broad match,None,1,1,100.00%,EUR,0.50,0.50,100.00%,100.00%,0.00,0,0,0.00%
parga bars nightlife,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga beach,Broad match,None,0,4,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
parga beach bars,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga beach greece,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga beach water sports,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga beaches,Broad match,None,5,35,14.29%,EUR,0.41,2.03,50.00%,83.33%,0.00,0,0,0.00%
parga beaches,Phrase match (close variant),None,9,79,11.39%,EUR,0.43,3.89,46.15%,88.46%,0.00,0,0,0.00%
parga beaches greece,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga best beach,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga best beaches,Broad match,None,1,6,16.67%,EUR,0.43,0.43,66.67%,66.67%,0.00,0,0,0.00%
parga best beaches,Phrase match (close variant),None,1,10,10.00%,EUR,0.19,0.19,25.00%,100.00%,0.00,0,0,0.00%
parga bezienswaardigheden,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga blog,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga blue lagoon,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
parga boat,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga boat hire,Broad match,None,1,3,33.33%,EUR,0.32,0.32,0.00%,100.00%,0.00,0,0,0.00%
parga boat rent,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga boat rental,Broad match,None,2,3,66.67%,EUR,0.25,0.50,0.00%,100.00%,0.00,0,0,0.00%
parga boat tour,Broad match,None,1,2,50.00%,EUR,0.08,0.08,0.00%,100.00%,0.00,0,0,0.00%
parga boat tours,Broad match,None,1,2,50.00%,EUR,0.22,0.22,100.00%,100.00%,0.00,0,0,0.00%
parga boat trip,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga boat trips,Broad match,None,4,20,20.00%,EUR,0.28,1.13,6.67%,60.00%,0.00,0,0,0.00%
parga boat trips,Phrase match (close variant),None,1,10,10.00%,EUR,0.42,0.42,20.00%,50.00%,0.00,0,0,0.00%
parga boulevard,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga burg,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga by,Broad match,None,2,5,40.00%,EUR,0.10,0.20,0.00%,60.00%,0.00,0,0,0.00%
parga by night,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
parga by night,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga camping,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga castello,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga cene,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
parga center,Broad match,None,3,10,30.00%,EUR,0.22,0.67,33.33%,33.33%,0.00,0,0,0.00%
parga centro,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga city,Broad match,None,1,10,10.00%,EUR,0.25,0.25,20.00%,100.00%,0.00,0,0,0.00%
parga city beach,Broad match,None,0,4,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga city center,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga city greece,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga clubs,Broad match,None,1,5,20.00%,EUR,0.07,0.07,0,0,0.00,0,0,0.00%
parga co warto zobaczyć,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga cruise,Broad match,None,0,2,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga cruises,Broad match,None,0,4,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
parga cruises and tours,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga cruises and tours,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga cy,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga dam,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga day trips,Broad match,None,1,7,14.29%,EUR,0.43,0.43,33.33%,50.00%,0.00,0,0,0.00%
parga day trips,Phrase match (close variant),None,2,8,25.00%,EUR,0.69,1.37,50.00%,62.50%,0.00,0,0,0.00%
parga day trips to paxos,Broad match,None,1,3,33.33%,EUR,0.23,0.23,0.00%,33.33%,0.00,0,0,0.00%
parga de,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga diving,Broad match,None,0,6,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga diving center,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga erfahrungen,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga ervaringen,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga events,Broad match,None,0,6,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga excursies,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
parga excursions,Broad match,None,1,22,4.55%,EUR,0.50,0.50,28.57%,66.67%,0.00,0,0,0.00%
parga excursions,Exact match (close variant),None,1,8,12.50%,EUR,0.43,0.43,12.50%,37.50%,0.00,0,0,0.00%
parga excursions,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga excursions price,Phrase match (close variant),None,0,3,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga ferry to paxos,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga festival,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga fishing,Broad match,None,0,8,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
parga fishing,Phrase match (close variant),None,0,5,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga forum,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga gezi,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga gezi rehberi,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga gradska plaza,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga grecia que ver,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga greece,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga greece 2023,Broad match,None,0,6,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga greece beaches,Broad match,None,0,4,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga greece beaches,Phrase match (close variant),None,1,16,6.25%,EUR,0.07,0.07,60.00%,100.00%,0.00,0,0,0.00%
parga greece boat trips,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga greece holidays,Broad match,None,2,7,28.57%,EUR,0.48,0.95,40.00%,100.00%,0.00,0,0,0.00%
parga greece nightlife,Broad match,None,0,14,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga greece nightlife,Phrase match (close variant),None,0,3,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
parga greece prices,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga greece reviews,Broad match,None,0,3,0.00%,EUR,0,0.00,33.33%,66.67%,0.00,0,0,0
parga greece things to do,Exact match (close variant),None,1,7,14.29%,EUR,0.24,0.24,14.29%,85.71%,0.00,0,0,0.00%
parga greece travel guide,Broad match,None,0,2,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga greece trips,Broad match,None,1,1,100.00%,EUR,0.23,0.23,100.00%,100.00%,0.00,0,0,0.00%
parga greece what to do,Exact match (close variant),None,0,5,0.00%,EUR,0,0.00,25.00%,25.00%,0.00,0,0,0
parga griekenland vakantie,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga guide,Broad match,None,0,11,0.00%,EUR,0,0.00,11.11%,33.33%,0.00,0,0,0
parga harbour,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
parga hd,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga hidden gems,Broad match,None,1,4,25.00%,EUR,0.41,0.41,50.00%,50.00%,0.00,0,0,0.00%
parga hidden gems,Phrase match (close variant),None,1,10,10.00%,EUR,0.15,0.15,0.00%,20.00%,0.00,0,0,0.00%
parga hiking,Phrase match (close variant),None,0,4,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga holidays,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,66.67%,0.00,0,0,0
parga images greece,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga in greece,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga in june,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga in may,Broad match,None,0,4,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga in october,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga in september,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga information,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga iskustva,Broad match,None,0,10,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
parga island,Broad match,None,0,5,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga izleti,Broad match,None,0,5,0.00%,EUR,0,0.00,0.00%,20.00%,0.00,0,0,0
parga jet ski,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga jun,Broad match,None,0,4,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga krioneri,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga krioneri beach,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga lefkada boat,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga leto 2024,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga live music,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga ma poyri,Broad match,None,0,5,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga maisonnettes,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga mapa,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga market,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga market day,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga markt,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga mini train,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga monastery,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga more,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga museum,Phrase match (close variant),None,0,3,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga music,Broad match,None,0,4,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga must see,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga must see,Exact match (close variant),None,0,5,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga nerede,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga new,Broad match,None,0,8,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga night,Broad match,None,0,11,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga night club,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga night life,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga nightclub,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga nightlife,Broad match,None,0,29,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
parga nightlife,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga nuj,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga nyaralás,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga obiective turistice,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga old town,Broad match,None,1,12,8.33%,EUR,0.48,0.48,66.67%,100.00%,0.00,0,0,0.00%
parga omgeving,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga opening hours,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga paradise,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga paralies,Broad match,None,1,2,50.00%,EUR,0.15,0.15,0,0,0.00,0,0,0.00%
parga parasailing,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga parasailing,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga party,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga paxos,Broad match,None,0,3,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga paxos antipaxos ferry,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga paxos boat,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
parga paxos boat trip,Phrase match (close variant),None,0,11,0.00%,EUR,0,0.00,25.00%,87.50%,0.00,0,0,0
parga paxos cruise,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga paxos cruises,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga paxos cruises,Phrase match (close variant),None,0,7,0.00%,EUR,0,0.00,42.86%,100.00%,0.00,0,0,0
parga paxos ferry,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
parga paxos ferry price,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga places to visit,Exact match (close variant),None,1,6,16.67%,EUR,0.09,0.09,0.00%,60.00%,0.00,0,0,0.00%
parga plaje,Broad match,None,2,2,100.00%,EUR,0.27,0.53,0.00%,100.00%,0.00,0,0,0.00%
parga plaza,Broad match,None,0,7,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga plaze,Broad match,None,0,6,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga plazi,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga polupansion,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga port greece,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga preveza greece,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga prices,Broad match,None,1,7,14.29%,EUR,0.29,0.29,14.29%,42.86%,0.00,0,0,0.00%
parga putopis,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga reddit,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga region,Broad match,None,1,1,100.00%,EUR,0.30,0.30,0.00%,100.00%,0.00,0,0,0.00%
parga region greece,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga reisgids,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga rent a boat,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga restaurants and bars,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga review,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga reviews,Broad match,None,1,2,50.00%,EUR,0.34,0.34,0.00%,50.00%,0.00,0,0,0.00%
parga reviews 2023,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
parga river walk,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga riverwalk,Phrase match (close variant),None,1,1,100.00%,EUR,0.08,0.08,100.00%,100.00%,0.00,0,0,0.00%
parga safari,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga sandy beaches,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga sarakiniko boat,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga scuba diving,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga sehenswürdigkeiten,Broad match,None,0,7,0.00%,EUR,0,0.00,16.67%,33.33%,0.00,0,0,0
parga sehenswürdigkeiten,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga september,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga sevärdheter,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga shopping,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga sights,Exact match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga sightseeing,Broad match,None,1,2,50.00%,EUR,0.08,0.08,50.00%,100.00%,0.00,0,0,0.00%
parga sightseeing,Exact match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga sivota blue lagoon,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
parga sivota blue lagoon,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga snorkeling,Phrase match (close variant),None,0,7,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga spiagge,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga sta obici,Broad match,None,1,2,50.00%,EUR,0.48,0.48,100.00%,100.00%,0.00,0,0,0.00%
parga strand,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga streets,Broad match,None,0,5,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
parga surf,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga tango club,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga taverne,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga taxi boat,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
parga things to do,Exact match,Added,6,26,23.08%,EUR,0.29,1.75,8.70%,86.96%,0.00,0,0,0.00%
parga things to do,Exact match (close variant),Added,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga tips,Broad match,None,0,7,0.00%,EUR,0,0.00,16.67%,50.00%,0.00,0,0,0
parga to acheron river,Broad match,None,0,12,0.00%,EUR,0,0.00,25.00%,50.00%,0.00,0,0,0
parga to antipaxos,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga to corfu boat trip,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga to corfu day trip,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
parga to do,Broad match,None,0,3,0.00%,EUR,0,0.00,33.33%,66.67%,0.00,0,0,0
parga to do,Exact match (close variant),None,1,9,11.11%,EUR,0.37,0.37,22.22%,66.67%,0.00,0,0,0.00%
parga to lichnos beach walk,Broad match,None,0,4,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
parga to paxos,Broad match,None,0,9,0.00%,EUR,0,0.00,0.00%,77.78%,0.00,0,0,0
parga to paxos boat,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga to paxos boat trip,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
parga to paxos day trip,Broad match,None,3,28,10.71%,EUR,0.37,1.11,32.14%,96.43%,0.00,0,0,0.00%
parga today,Broad match,None,1,6,16.67%,EUR,0.16,0.16,0.00%,20.00%,0.00,0,0,0.00%
parga top beaches,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga touloupis,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
parga tour,Broad match,None,0,5,0.00%,EUR,0,0.00,50.00%,75.00%,0.00,0,0,0
parga tour,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
parga tour train,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
parga tour train,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
